AppID,Name,Release date,Estimated owners,Peak CCU,Price,Positive,Negative,Genres,Price_USD,Total_Reviews,Pct_Positive,Genre_Utama,Tahun_Rilis,Bulan_Rilis
3877290,Shuvani,2025-10-31,0 - 20000,0,2.09,0,0,"Action,Adventure",2.09,0,0.0,Action,2025,10
3229900,Asuka Idol Journey,2026-02-15,0 - 0,0,5.39,0,0,RPG,5.39,0,0.0,RPG,2026,2
2959230,Orient on the Murder Express,2024-05-14,20000 - 50000,0,0.99,1,0,"Adventure,Casual,Indie",0.99,1,100.0,Adventure,2024,5
4249770,Captain Whiskers: Incremental Seas,2026-02-10,0 - 0,0,4.49,0,0,"Casual,Strategy",4.49,0,0.0,Casual,2026,2
3274140,Blitz Society,2025-03-19,20000 - 50000,0,4.99,3,0,Strategy,4.99,3,100.0,Strategy,2025,3
913350,CaveDare,2018-10-29,0 - 20000,0,4.99,0,0,"Action,Adventure,Casual,Indie",4.99,0,0.0,Action,2018,10
1465210,Gravulse Experimental,2020-12-20,20000 - 50000,1,0.0,157,53,"Action,Indie",0.0,210,74.76,Action,2020,12
1222140,Detroit: Become Human,2020-06-18,2000000 - 5000000,2344,3.99,162047,7152,"Action,Adventure",3.99,169199,95.77,Action,2020,6
1954200,Kena: Bridge of Spirits,2022-09-26,1000000 - 2000000,43,11.99,14031,1209,"Action,Adventure,Indie",11.99,15240,92.07,Action,2022,9
496320,Running Gods,2016-09-13,50000 - 100000,0,4.99,19,8,"Action,Adventure,Casual,Indie",4.99,27,70.37,Action,2016,9
1564590,Easy Quiz,2021-03-24,0 - 20000,0,0.49,12,4,"Casual,Indie",0.49,16,75.0,Casual,2021,3
944180,Titan Outpost,2019-08-09,0 - 20000,0,4.99,69,20,"Adventure,Indie,RPG,Simulation",4.99,89,77.53,Adventure,2019,8
2279410,The Zombie Neighborhood,2023-11-21,50000 - 100000,0,6.29,19,13,"Action,Indie",6.29,32,59.38,Action,2023,11
1252830,A Juggler's Tale,2021-09-29,0 - 20000,4,2.69,1672,142,"Action,Adventure,Indie",2.69,1814,92.17,Action,2021,9
1205260,Defeated Girl,2020-10-01,0 - 20000,0,1.19,326,71,"Adventure,Casual,RPG,Simulation,Strategy",1.19,397,82.12,Adventure,2020,10
571630,Puzzle Island VR,2020-05-19,0 - 20000,0,0.74,24,14,Casual,0.74,38,63.16,Casual,2020,5
840620,Geometry Boxer,2018-05-01,20000 - 50000,0,0.0,49,23,"Action,Casual,Free To Play,Indie",0.0,72,68.06,Action,2018,5
878510,Sort the Cube,2018-08-04,0 - 20000,0,2.99,2,1,Casual,2.99,3,66.67,Casual,2018,8
1763250,SWORN,2025-09-23,20000 - 50000,150,12.49,2039,422,"Action,Indie,RPG",12.49,2461,82.85,Action,2025,9
1280920,Joe's Quest,2025-03-02,0 - 20000,0,4.99,0,0,"Action,Adventure,Casual,Indie,RPG,Simulation,Sports,Strategy",4.99,0,0.0,Action,2025,3
2910460,Furry Angel Take In,2024-10-16,0 - 20000,0,2.09,598,7,"Adventure,Indie",2.09,605,98.84,Adventure,2024,10
431290,Level 22: Gary’s Misadventures - 2016 Edition,2016-02-11,0 - 20000,0,0.76,41,19,"Action,Indie",0.76,60,68.33,Action,2016,2
1298280,Captain Disaster in: Death Has A Million Stomping Boots,2020-05-28,0 - 20000,0,2.19,22,1,Adventure,2.19,23,95.65,Adventure,2020,5
1304220,The End of Labyronia: Nerubis,2020-05-13,0 - 20000,0,0.49,5,2,"Adventure,Indie,RPG,Strategy",0.49,7,71.43,Adventure,2020,5
657180,The Adliberum Engine (ADLENGINE),2017-06-23,0 - 20000,0,0.0,16,8,"Massively Multiplayer,RPG,Utilities,Early Access",0.0,24,66.67,Massively Multiplayer,2017,6
2589320,So Much Stuff 4: Bits & Bobs,2023-10-29,0 - 20000,0,5.99,4,0,Casual,5.99,4,100.0,Casual,2023,10
693560,After Rain: Phoenix Rise,2017-12-15,0 - 20000,0,2.99,6,2,"Action,Adventure,Indie",2.99,8,75.0,Action,2017,12
455230,Bazaar,2016-03-28,0 - 20000,0,3.49,12,3,"Indie,Strategy",3.49,15,80.0,Indie,2016,3
2346230,Ravenwood,2024-08-10,0 - 20000,0,4.99,14,2,"Action,Indie,RPG,Early Access",4.99,16,87.5,Action,2024,8
1857870,Space Demon Combat Tactics III,2022-01-13,0 - 20000,0,0.99,2,0,Action,0.99,2,100.0,Action,2022,1
371380,Dr. Spacezoo,2016-05-09,0 - 20000,0,14.99,10,0,"Action,Indie,Early Access",14.99,10,100.0,Action,2016,5
